ID,Dog,Runs,Wins,Strike Rate,Longest Winning Sequence,Longest Losing Sequence,Current Losing Sequence,Last Run
440,Annadown Tank,9,1,11.11,1,5,3,12/08/2021
441,Annagh Beauty,10,2,20,1,6,0,07/04/2021
442,Annagh Blake,38,7,18.42,2,9,4,23/10/2021
443,Annagh Jess,2,0,0,0,2,2,17/02/2021
444,Annagh Matt,18,5,27.77,2,5,2,24/06/2021
445,Annagh Matt,18,5,27.77,2,5,2,24/06/2021
446,Annagh Mike,21,1,4.76,1,17,17,02/10/2021
447,Annagh Rosie,7,2,28.57,2,4,1,20/12/2021
448,Annaghdown Vic,29,8,27.58,2,7,2,28/12/2021
449,Annaghdown Vicky,2,0,0,0,2,2,30/04/2021
450,Annaghdown Vinny,41,8,19.51,2,11,3,21/12/2021
451,Annas Secret,56,9,16.07,2,15,3,29/12/2021
452,Annies Bandit,7,1,14.28,1,5,1,10/03/2021
453,Annies Buddy,16,2,12.5,1,8,1,18/05/2021
454,Anniversary Girl,6,1,16.66,1,3,2,15/06/2021
455,Anns Lucie,58,6,10.34,1,21,1,29/12/2021
456,Annual Increase,24,6,25,2,7,7,29/09/2021
457,Annual Mitzi,3,0,0,0,3,3,30/11/2021
458,Annual Pass,30,11,36.66,5,5,2,20/12/2021
459,Annual Problem,26,4,15.38,2,10,10,07/12/2021
460,Annual Sabbath,29,5,17.24,2,9,4,10/08/2021
461,Annual Sydney,3,1,33.33,1,1,1,27/12/2021
462,Another Archie,9,1,11.11,1,6,6,31/07/2021
463,Another Delight,22,2,9.09,1,9,8,28/10/2021
464,Another Dove,16,4,25,1,3,2,30/12/2021
465,Another Matt,20,3,15,2,8,4,02/06/2021
466,Another Pablo,5,2,40,1,2,2,08/11/2021
467,Another Review,34,3,8.82,1,18,7,01/11/2021
468,Another Sod,7,4,57.14,1,1,0,11/12/2021
469,Antigua Bigun,6,2,33.33,2,3,1,14/12/2021
470,Antigua Billy,18,2,11.11,1,12,12,09/12/2021
471,Antigua Bruiser,13,0,0,0,13,13,01/10/2021
472,Antigua Bullet,10,4,40,3,4,4,11/09/2021
473,Antigua Jet,10,1,10,1,8,1,20/12/2021
474,Antigua Littlun,10,4,40,2,4,0,06/12/2021
475,Antigua Mememe,1,0,0,0,1,1,20/04/2021
476,Antigua Noel,12,2,16.66,1,5,2,28/12/2021
477,Antigua Pearl,11,1,9.09,1,10,10,16/03/2021
478,Antigua Socks,3,1,33.33,1,1,1,11/04/2021
